#BB acoustic spectrum: f [Hz]        Spp [Pa^2/Hz]      Spp_u [Pa^2/Hz]     Spp_l [Pa^2/Hz]
1.0300000000e+03     7.4828376913e-10    2.0754534023e-10    5.4073842890e-10
1.0350000000e+03     3.3472295755e-10    2.2381687514e-11    3.1234127004e-10
1.0400000000e+03     7.1630780565e-11    2.1307736988e-11    5.0323043577e-11
1.0450000000e+03     1.3042597553e-10    3.5453254551e-11    9.4972720977e-11
1.0500000000e+03     1.2929522403e-09    7.5862213865e-11    1.2170900265e-09
1.0550000000e+03     2.1959992457e-10    7.9851951023e-11    1.3974797355e-10
1.0600000000e+03     1.2203425075e-10    4.2639361978e-11    7.9394888773e-11
1.0650000000e+03     5.4818066631e-10    2.3309789451e-10    3.1508277180e-10
1.0700000000e+03     5.1405514783e-08    1.9203277260e-08    3.2202237524e-08
1.0750000000e+03     6.7223798444e-09    2.8717978762e-09    3.8505819682e-09
1.0800000000e+03     2.7336536050e-10    8.5275102377e-11    1.8809025812e-10
1.0850000000e+03     4.8723167978e-09    1.9215966248e-09    2.9507201730e-09
1.0900000000e+03     8.8471171414e-09    1.1935086676e-11    8.8351820548e-09
1.0950000000e+03     1.0993258617e-10    1.3122137594e-11    9.6810448575e-11
1.1000000000e+03     3.0211409297e-10    8.6701980925e-11    2.1541211205e-10
1.1050000000e+03     6.6024178586e-09    3.1715213334e-11    6.5707026453e-09
1.1100000000e+03     1.2023063348e-09    5.3141185154e-11    1.1491651497e-09
1.1150000000e+03     7.0837086942e-11    1.5027854424e-11    5.5809232518e-11
1.1200000000e+03     1.5901545403e-08    8.7693127237e-09    7.1322326798e-09
1.1250000000e+03     7.5978933728e-11    8.6898932799e-12    6.7289040448e-11
1.1300000000e+03     1.4661782359e-10    5.1685438136e-11    9.4932385454e-11
1.1350000000e+03     1.5107485585e-10    1.9246879870e-11    1.3182797598e-10
1.1400000000e+03     2.7655960502e-08    1.0491216271e-08    1.7164744231e-08
1.1450000000e+03     9.4521167550e-10    9.1409590927e-11    8.5380208458e-10
1.1500000000e+03     1.8578663138e-09    1.7456317716e-11    1.8404099961e-09
1.1550000000e+03     8.2656390002e-10    9.7369436399e-11    7.2919446362e-10
1.1600000000e+03     1.2894753321e-10    1.3502723298e-11    1.1544480991e-10
1.1650000000e+03     2.8475953506e-09    1.0306059052e-09    1.8169894454e-09
1.1700000000e+03     7.3990474020e-11    1.3001804714e-11    6.0988669306e-11
1.1750000000e+03     1.8977819357e-09    1.5087415998e-10    1.7469077757e-09
1.1800000000e+03     2.2461689686e-09    2.2846482322e-10    2.0177041454e-09
1.1850000000e+03     1.2508653067e-10    1.8895919366e-11    1.0619061131e-10
