#BB acoustic spectrum: f [Hz]        Spp [Pa^2/Hz]      Spp_u [Pa^2/Hz]     Spp_l [Pa^2/Hz]
2.8500000000e+03     1.8338299820e-06    1.3541862485e-06    4.7964373348e-07
2.8625000000e+03     1.6669701336e-06    1.1846745519e-06    4.8229558169e-07
2.8750000000e+03     1.5371103207e-06    1.0530841239e-06    4.8402619678e-07
2.8875000000e+03     1.4332135350e-06    9.4847458075e-07    4.8473895426e-07
2.9000000000e+03     1.3480592432e-06    8.6361628081e-07    4.8444296239e-07
2.9125000000e+03     1.2768319556e-06    7.9356001245e-07    4.8327194313e-07
2.9250000000e+03     1.2163059494e-06    7.3481598021e-07    4.8148996916e-07
2.9375000000e+03     1.1643417558e-06    6.8486111198e-07    4.7948064377e-07
2.9500000000e+03     1.1195504484e-06    6.4183202909e-07    4.7771841935e-07
2.9625000000e+03     1.0810507979e-06    6.0432741182e-07    4.7672338604e-07
2.9750000000e+03     1.0482807820e-06    5.7127714652e-07    4.7700363544e-07
2.9875000000e+03     1.0208452765e-06    5.4185351545e-07    4.7899176101e-07
3.0000000000e+03     9.9839332959e-07    5.1540957913e-07    4.8298375046e-07
3.0125000000e+03     9.8052466219e-07    4.9143556867e-07    4.8908909352e-07
3.0250000000e+03     9.6672762184e-07    4.6952745878e-07    4.9720016305e-07
3.0375000000e+03     9.5635075817e-07    4.4936393234e-07    5.0698682583e-07
3.0500000000e+03     9.4860824360e-07    4.3068922056e-07    5.1791902304e-07
3.0625000000e+03     9.4261627562e-07    4.1330011603e-07    5.2931615959e-07
3.0750000000e+03     9.3745412005e-07    3.9703598628e-07    5.4041813376e-07
3.0875000000e+03     9.3224033765e-07    3.8177096828e-07    5.5046936937e-07
3.1000000000e+03     9.2621264146e-07    3.6740776316e-07    5.5880487829e-07
3.1125000000e+03     9.1879924700e-07    3.5387261529e-07    5.6492663171e-07
3.1250000000e+03     9.0967073502e-07    3.4111117473e-07    5.6855956029e-07
3.1375000000e+03     8.9876427839e-07    3.2908502419e-07    5.6967925420e-07
3.1500000000e+03     8.8627622495e-07    3.1776871030e-07    5.6850751465e-07
3.1625000000e+03     8.7262385953e-07    3.0714716233e-07    5.6547669720e-07
3.1750000000e+03     8.5838192621e-07    2.9721341287e-07    5.6116851334e-07
3.1875000000e+03     8.4420339186e-07    2.8796655903e-07    5.5623683284e-07
3.2000000000e+03     8.3073632882e-07    2.7940992048e-07    5.5132640833e-07
3.2125000000e+03     8.1854962064e-07    2.7154936441e-07    5.4700025623e-07
3.2250000000e+03     8.0807655705e-07    2.6439177787e-07    5.4368477917e-07
3.2375000000e+03     7.9957335684e-07    2.5794367640e-07    5.4162968044e-07
3.2500000000e+03     7.9315255832e-07    2.5220994385e-07    5.4094261448e-07
